Tweet,Class
"You're so stupid, why do you even try?",1
"Nobody wants you here, just leave.",1
"Your work is always a disaster.",1
"Can you stop being so annoying?",1
"You're such a loser.",1
"You're worthless and should just quit.",1
"Nobody cares about your opinion.",1
"Your ideas are always so dumb.",1
"You're a waste of space.",1
"Why are you even here? You're useless.",1
"Your face is so ugly, it's disgusting.",1
"Stop talking, nobody wants to hear you.",1
"You're such a failure, just give up.",1
"Can't believe you thought that was a good idea.",1
"You're so clueless, it's embarrassing.",1
"Can you stop being so useless?",1
"You're such a disappointment.",1
"Your attitude is so toxic, it's unbearable.",1
"You're so annoying, nobody can stand you.",1
"Your work is always so mediocre.",1
"Can you stop being so selfish?",1
"You're such a waste of time.",1
"Your face is so ugly, it's distracting.",1
"Stop talking, nobody cares what you think.",1
"You're such a failure, just disappear.",1
"Can't believe you thought that was acceptable.",1
"You're always so lazy and unproductive.",1
"Your presence is so irritating, go away.",1
"You're a joke, nobody respects you.",1
"Your work is always so disappointing.",1
"Can you stop being so incompetent?",1
"You're such a burden to the team.",1
"Your ideas are always so ridiculous.",1
"Nobody likes you, just go away.",1
"Your existence is meaningless.",1
"You're so clueless, it's pathetic.",1
"Can you stop being so useless?",1
"You're such a disappointment to everyone.",1
"Your attitude is so toxic, it's unbearable.",1
"You're so annoying, nobody can tolerate you.",1
"Your work is always so substandard.",1
"Can you stop being so selfish?",1
"You're such a waste of space.",1
"Your face is so ugly, it's revolting.",1
"Stop talking, nobody values your opinion.",1
"You're such a failure, just vanish.",1
"Can't believe you thought that was okay.",1
"You're always so lazy and unreliable.",1
"Your presence is so annoying, go away.",1
"You're a joke, nobody takes you seriously.",1
"Your work is always so subpar.",1
"Can you stop being so incompetent?",1
"You're such a burden to everyone.",1
"Your ideas are always so stupid.",1
"Nobody likes you, just leave us alone.",1
"Your existence is pointless.",1
"You're so clueless, it's embarrassing.",1
"Can you stop being so useless?",1
"You're such a disappointment.",1
"Your attitude is so toxic, it's unbearable.",1
"You're so annoying, nobody can stand you.",1
"Your work is always so mediocre.",1
"Can you stop being so selfish?",1
"You're such a waste of time.",1
"Your face is so ugly, it's distracting.",1
"Stop talking, nobody cares what you think.",1
"You're such a failure, just disappear.",1
"Can't believe you thought that was acceptable.",1
"You're always so lazy and unproductive.",1
"Your presence is so irritating, go away.",1
"You're a joke, nobody respects you.",1
"Your work is always so disappointing.",1
"Can you stop being so incompetent?",1
"You're such a burden to the team.",1
"Your ideas are always so ridiculous.",1
"Nobody likes you, just go away.",1
"Your existence is meaningless.",1
"You're so clueless, it's pathetic.",1
"Can you stop being so useless?",1
"You're such a disappointment to everyone.",1
"Your attitude is so toxic, it's unbearable.",1
"You're so annoying, nobody can tolerate you.",1
"Your work is always so substandard.",1
"Can you stop being so selfish?",1
"You're such a waste of space.",1
"Your face is so ugly, it's revolting.",1
"Stop talking, nobody values your opinion.",1
"You're such a failure, just vanish.",1
"Can't believe you thought that was okay.",1
"You're always so lazy and unreliable.",1
"Your presence is so annoying, go away.",1
"You're a joke, nobody takes you seriously.",1
"Your work is always so subpar.",1
"Can you stop being so incompetent?",1
"You're such a burden to everyone.",1
"Your ideas are always so stupid.",1
"Nobody likes you, just leave us alone.",1
"Your existence is pointless.",1
"bloody idiot",1
"Why do you even bother? You're terrible at this.",1
"Nobody likes you, why do you keep trying?",1
"Your opinions are always so wrong.",1
"You're such a waste of oxygen.",1
"Can you just disappear? Nobody wants you here.",1
"You're so pathetic, it's embarrassing.",1
"Your work is always a joke.",1
"Stop trying, you'll never be good enough.",1
"You're so annoying, nobody can stand you.",1
"Your face is so ugly, it's hard to look at.",1
"Why are you even here? You're useless.",1
"Your ideas are always so stupid.",1
"Nobody cares about what you have to say.",1
"You're such a failure, just give up.",1
"Can't believe you thought that was a good idea.",1
"You're so clueless, it's embarrassing.",1
"Can you stop being so useless?",1
"You're such a disappointment.",1
"Your attitude is so toxic, it's unbearable.",1
"You're so annoying, nobody can stand you.",1
"Your work is always so mediocre.",1
"Can you stop being so selfish?",1
"You're such a waste of time.",1
"Your face is so ugly, it's distracting.",1
"Stop talking, nobody cares what you think.",1
"You're such a failure, just disappear.",1
"Can't believe you thought that was acceptable.",1
"You're always so lazy and unproductive.",1
"Your presence is so irritating, go away.",1
"You're a joke, nobody respects you.",1
"Your work is always so disappointing.",1
"Can you stop being so incompetent?",1
"You're such a burden to the team.",1
"Your ideas are always so ridiculous.",1
"Nobody likes you, just go away.",1
"Your existence is meaningless.",1
"You're so clueless, it's pathetic.",1
"Can you stop being so useless?",1
"You're such a disappointment to everyone.",1
"Your attitude is so toxic, it's unbearable.",1
"You're so annoying, nobody can tolerate you.",1
"Your work is always so substandard.",1
"Can you stop being so selfish?",1
"You're such a waste of space.",1
"Your face is so ugly, it's revolting.",1
"Stop talking, nobody values your opinion.",1
"You're such a failure, just vanish.",1
"Can't believe you thought that was okay.",1
"You're always so lazy and unreliable.",1
"Your presence is so annoying, go away.",1
"You're a joke, nobody takes you seriously.",1
"Your work is always so subpar.",1
"Can you stop being so incompetent?",1
"You're such a burden to everyone.",1
"Your ideas are always so stupid.",1
"Nobody likes you, just leave us alone.",1
"Your existence is pointless.",1
"You're so clueless, it's embarrassing.",1
"Can you stop being so useless?",1
"You're such a disappointment.",1
"Your attitude is so toxic, it's unbearable.",1
"You're so annoying, nobody can stand you.",1
"Your work is always so mediocre.",1
"Can you stop being so selfish?",1
"You're such a waste of time.",1
"Your face is so ugly, it's distracting.",1
"Stop talking, nobody cares what you think.",1
"You're such a failure, just disappear.",1
"Can't believe you thought that was acceptable.",1
"You're always so lazy and unproductive.",1
"Your presence is so irritating, go away.",1
"You're a joke, nobody respects you.",1
"Your work is always so disappointing.",1
"Can you stop being so incompetent?",1
"You're such a burden to the team.",1
"Your ideas are always so ridiculous.",1
"Nobody likes you, just go away.",1
"Your existence is meaningless.",1
"You're so clueless, it's pathetic.",1
"Can you stop being so useless?",1
"You're such a disappointment to everyone.",1
"Your attitude is so toxic, it's unbearable.",1
"You're so annoying, nobody can tolerate you.",1
"Your work is always so substandard.",1
"Can you stop being so selfish?",1
"You're such a waste of space.",1
"Your face is so ugly, it's revolting.",1
"Stop talking, nobody values your opinion.",1
"You're such a failure, just vanish.",1
"Can't believe you thought that was okay.",1
"You're always so lazy and unreliable.",1
"Your presence is so annoying, go away.",1
"You're a joke, nobody takes you seriously.",1
"Your work is always so subpar.",1
"Can you stop being so incompetent?",1
"You're such a burden to everyone.",1
"Your ideas are always so stupid.",1
"Nobody likes you, just leave us alone.",1
"Your existence is pointless.",1
"Bloody beggger",1